name,increases,decreases
Hardy,,
Lonely,Attack,Defense
Brave,Attack,Speed
Adamant,Attack,Sp. Attack
Naughty,Attack,Sp. Defense
Bold,Defense,Attack
Docile,,
Relaxed,Defense,Speed
Impish,Defense,Sp. Attack
Lax,Defense,Sp. Defense
Timid,Speed,Attack
Hasty,Speed,Defense
Serious,,
Jolly,Speed,Sp. Attack
Naive,Speed,Sp. Defense
Modest,Sp. Attack,Attack
Mild,Sp. Attack,Defense
Quiet,Sp. Attack,Speed
Bashful,,
Rash,Sp. Attack,Sp. Defense
Calm,Sp. Defense,Attack
Gentle,Sp. Defense,Defense
Sassy,Sp. Defense,Speed
Careful,Sp. Defense,Sp. Attack
Quirky,,
